name,site,subtypes,category,phone,full_address,postal_code,latitude,longitude,rating,reviews,reviews_tags,photos_count,photo,working_hours,business_status,about,description,menu_link,location_link,place_id
Kuce i Mace - Online Pet Shop,http://kuceimace.rs/,Pet store,Продавница кућних љубимаца,+381 60 4881886,"Vlajkovićeva 19, Beograd 11000",11000,44.8134477,20.466287299999998,5.0,71.0,,773.0,https://lh3.googleusercontent.com/p/AF1QipPET7FJrL4LbDpDYx3CRC37MNduyT3AJy8653qj=w800-h500-k-no,"{""Monday"": ""8AM-4PM"", ""Tuesday"": ""8AM-4PM"", ""Wednesday"": ""8AM-4PM"", ""Thursday"": ""8AM-4PM"", ""Friday"": ""8AM-4PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Cash only"": true}}",,,"https://www.google.com/maps/place/Kuce+i+Mace+-+Online+Pet+Shop/@44.8134477,20.466287299999998,14z/data=!4m8!1m2!2m1!1sKuce+i+Mace+-+Online+Pet+Shop!3m4!1s0x475a7b3d89393221:0xe7d000a6a413163b!8m2!3d44.8134477!4d20.466287299999998",ChIJITI5iT17WkcROxYTpKYA0Oc
PetKlub,http://petklub.rs/,"Pet store, Pet supply store, Store",Продавница кућних љубимаца,,"Dubrovačka 3, Beograd 11000",11000,44.8242501,20.460399199999998,4.8,88.0,,11.0,https://lh3.googleusercontent.com/p/AF1QipNgdP7ijSjh1z25Srtg8-gmc2rpttWcnw6L-cD1=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-9PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store shopping"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,"https://www.google.com/maps/place/PetKlub/@44.8242501,20.460399199999998,14z/data=!4m8!1m2!2m1!1sPetKlub!3m4!1s0x475a65560a18e017:0x8a2b3c0e84a007c6!8m2!3d44.8242501!4d20.460399199999998",ChIJF-AYClZlWkcRxgeghA48K4o
Pet centar Dorćol,https://www.pet-centar.rs/,Pet supply store,Продавница за кућне љубимце,+381 11 4501883,"Venizelosova 29, Beograd 11000",11000,44.8200023,20.4723895,4.4,24.0,,5.0,https://lh3.googleusercontent.com/p/AF1QipM84yXKDV4MtHHy0RGllkNwMZDF-RSSCWTX27Xq=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-9PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Pet+centar+Dor%C4%87ol/@44.8200023,20.4723895,14z/data=!4m8!1m2!2m1!1sPet+centar+Dor%C4%87ol!3m4!1s0x475a7ba21132edc7:0x15497ff76aaccccd!8m2!3d44.8200023!4d20.4723895",ChIJx-0yEaJ7WkcRzcysavd_SRU
"Pet Republic, Ušće Shopping Center",http://www.petrepublic.rs/,Pet supply store,Pet supply store,+381 11 4054733,"Bulevar Mihajla Pupina 6, Beograd",None,44.8152866,20.4369423,4.1,35.0,,33.0,https://lh3.googleusercontent.com/p/AF1QipOYSnn-i3sr_SZvI-gu7E-0symA45ZJ2pwM3AL8=w800-h500-k-no,"{""Monday"": ""10AM-10PM"", ""Tuesday"": ""10AM-10PM"", ""Wednesday"": ""10AM-10PM"", ""Thursday"": ""10AM-10PM"", ""Friday"": ""10AM-10PM"", ""Saturday"": ""10AM-10PM"", ""Sunday"": ""10AM-10PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store shopping"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,"https://www.google.com/maps/place/Pet+Republic%2C+U%C5%A1%C4%87e+Shopping+Center/@44.8152866,20.4369423,14z/data=!4m8!1m2!2m1!1sPet+Republic%2C+U%C5%A1%C4%87e+Shopping+Center!3m4!1s0x475a6557baf45e5b:0xc05f3e3b54aa1c2!8m2!3d44.8152866!4d20.4369423",ChIJW170uldlWkcRwqFKtePzBQw
Premium Pet Njegoševa,http://www.premiumpet.rs/,Pet store,Pet store,+381 69 8265014,"Njegoševa 57, Beograd 11000",11000,44.802003899999995,20.4717162,4.7,30.0,,7.0,https://lh3.googleusercontent.com/p/AF1QipN2AbCwVJiYO1X6f7QWbqMwZ3hsXf8k_R51yNlS=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-9PM""}",OPERATIONAL,"{""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,"https://www.google.com/maps/place/Premium+Pet+Njego%C5%A1eva/@44.802003899999995,20.4717162,14z/data=!4m8!1m2!2m1!1sPremium+Pet+Njego%C5%A1eva!3m4!1s0x475a71ad548b3e6f:0xd78feada107a26c0!8m2!3d44.802003899999995!4d20.4717162",ChIJbz6LVK1xWkcRwCZ6ENrqj9c
Pet Shop | Mas Pater,,Pet store,Pet store,+381 60 6856850,"Dobračina 23a, Beograd 11000",11000,44.819385499999996,20.462283,5.0,24.0,,14.0,https://lh3.googleusercontent.com/p/AF1QipPpQVKSy9fUIYz-n9EKk5Ci6qWonv8KmPysDKh8=w800-h500-k-no,"{""Monday"": ""9AM-8PM"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-4PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}, ""Other"": {""Identifies as women-owned"": true}}",,,"https://www.google.com/maps/place/Pet+Shop+%7C+Mas+Pater/@44.819385499999996,20.462283,14z/data=!4m8!1m2!2m1!1sPet+Shop+%7C+Mas+Pater!3m4!1s0x475a7bc3492ffb8b:0xe96d626c7905888c!8m2!3d44.819385499999996!4d20.462283",ChIJi_svScN7WkcRjIgFeWxibek
Gupi,http://www.gupi.rs/,Pet store,Продавница кућних љубимаца,+381 63 1080725,"11120, Dimitrija Tucovića 67, Beograd",None,44.8038294,20.487631099999998,4.6,333.0,,38.0,https://lh3.googleusercontent.com/p/AF1QipMvjTWmDduKXOBtqP-g4AFD4dlVETIpsAb5X2QN=w800-h500-k-no,"{""Monday"": ""9AM-8PM"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""In-store shopping"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": false, ""Wheelchair-accessible entrance"": false}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,"https://www.google.com/maps/place/Gupi/@44.8038294,20.487631099999998,14z/data=!4m8!1m2!2m1!1sGupi!3m4!1s0x475a7a834a60ccad:0xf3b062e9234c5632!8m2!3d44.8038294!4d20.487631099999998",ChIJrcxgSoN6WkcRMlZMI-lisPM
Premium Pet Đeram,http://www.premiumpet.rs/,Pet store,Pet store,+381 62 709986,"Bulevar kralja Aleksandra 208, Beograd 11000",11000,44.7996815,20.488784799999998,4.7,41.0,,16.0,https://lh3.googleusercontent.com/p/AF1QipPAGkDooyBTnx4p9SWCe-6XLbKHKM65IzdH-oph=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Premium+Pet+%C4%90eram/@44.7996815,20.488784799999998,14z/data=!4m8!1m2!2m1!1sPremium+Pet+%C4%90eram!3m4!1s0x475a7be3ff7938a7:0xa14fd60d9bc0c4a5!8m2!3d44.7996815!4d20.488784799999998",ChIJpzh5_-N7WkcRpcTAmw3WT6E
Pet Shop STANA,https://stana.rs/,"Pet supply store, Service establishment",Pet supply store,+381 60 7555174,,,44.210778499999996,20.9104991,4.9,117.0,,8.0,https://lh3.googleusercontent.com/p/AF1QipPdCTPG1JvQI8I5DRGHARmm6FxRpbgk_A9gxKvI=w800-h500-k-no,"{""Monday"": ""8:30AM-8:30PM"", ""Tuesday"": ""8:30AM-8:30PM"", ""Wednesday"": ""8:30AM-8:30PM"", ""Thursday"": ""8:30AM-8:30PM"", ""Friday"": ""8:30AM-8:30PM"", ""Saturday"": ""8:30AM-5PM"", ""Sunday"": ""8:30AM-3PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true}, ""Payments"": {""Cash only"": true, ""Credit cards"": true, ""Debit cards"": true}}",,,"https://www.google.com/maps/place/Pet+Shop+STANA/@44.210778499999996,20.9104991,14z/data=!4m8!1m2!2m1!1sPet+Shop+STANA!3m4!1s0x475a71077be0ffc3:0x856af0c3fd0fc8c2!8m2!3d44.210778499999996!4d20.9104991",ChIJw__gewdxWkcRwsgP_cPwaoU
Premium Pet Vojvode Stepe,http://www.premiumpet.rs/,Pet store,Pet store,+381 69 2019759,"Vojvode Stepe 219, Beograd 11000",11000,44.7728855,20.4774744,4.7,127.0,,37.0,https://lh3.googleusercontent.com/p/AF1QipMhaN18cCLgjh_AMBkXGureqhzYUg6eCz6-DUw3=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""9AM-5PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""In-store pick-up"": true, ""Same-day delivery"": true}, ""Accessibility"": {""Wheelchair-accessible car park"": true, ""Wheelchair-accessible entrance"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Premium+Pet+Vojvode+Stepe/@44.7728855,20.4774744,14z/data=!4m8!1m2!2m1!1sPremium+Pet+Vojvode+Stepe!3m4!1s0x475a71476005fc5b:0x130db1b07d704514!8m2!3d44.7728855!4d20.4774744",ChIJW_wFYEdxWkcRFEVwfbCxDRM
Pet Jungle - Komovet,https://petjungle.rs/,Pet store,Продавница кућних љубимаца,+381 65 3232306,"Venizelosova 17, Beograd 11000",11000,44.819998,20.470710099999998,3.3,14.0,,4.0,https://lh3.googleusercontent.com/p/AF1QipO7edeCXDUS16y2lbcc_-MDSI5QcK9wS86VXkP5=w800-h500-k-no,"{""Monday"": ""9AM-8PM"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-8PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-3PM"", ""Sunday"": ""9AM-3PM""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",,,"https://www.google.com/maps/place/Pet+Jungle+-+Komovet/@44.819998,20.470710099999998,14z/data=!4m8!1m2!2m1!1sPet+Jungle+-+Komovet!3m4!1s0x475a7bd677caee89:0x6baf1b0104732b47!8m2!3d44.819998!4d20.470710099999998",ChIJie7Kd9Z7WkcRRytzBAEbr2s
Premium Pet Hajduk Veljkov venac,http://www.premiumpet.rs/,Pet store,Pet store,+381 69 8265013,"Hajduk-Veljkov venac 12, Beograd 11000",11000,44.8060651,20.4572751,5.0,25.0,,2.0,https://lh3.googleusercontent.com/p/AF1QipOTrfdV1MKnB8T8tE99boYl7NCrGvwNPIGWhd9y=w800-h500-k-no,"{""Monday"": ""9AM-9PM"", ""Tuesday"": ""9AM-9PM"", ""Wednesday"": ""9AM-9PM"", ""Thursday"": ""9AM-9PM"", ""Friday"": ""9AM-9PM"", ""Saturday"": ""9AM-9PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Delivery"": true, ""Same-day delivery"": true}, ""Planning"": {""Quick visit"": true}, ""Payments"": {""Credit cards"": true}}",,,"https://www.google.com/maps/place/Premium+Pet+Hajduk+Veljkov+venac/@44.8060651,20.4572751,14z/data=!4m8!1m2!2m1!1sPremium+Pet+Hajduk+Veljkov+venac!3m4!1s0x475a7b3876e0ad4d:0xa21d2e92ba5e0e56!8m2!3d44.8060651!4d20.4572751",ChIJTa3gdjh7WkcRVg5eupIuHaI
SANTI,https://santi.rs/,"Pet supply store, Service establishment, Pet store",Продавница за кућне љубимце,+381 60 7555174,,,44.210778499999996,20.9104991,5.0,684.0,,9.0,https://lh3.googleusercontent.com/p/AF1QipP0WxeAujkKx-0yWAwnqxYxIlkR278Wzd9m1ULJ=w800-h500-k-no,"{""Monday"": ""8:30AM-8:30PM"", ""Tuesday"": ""8:30AM-8:30PM"", ""Wednesday"": ""8:30AM-8:30PM"", ""Thursday"": ""8:30AM-8:30PM"", ""Friday"": ""8:30AM-8:30PM"", ""Saturday"": ""8:30AM-5PM"", ""Sunday"": ""Closed""}",OPERATIONAL,"{""Service options"": {""Delivery"": true}, ""Crowd"": {""LGBTQ+ friendly"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",,,"https://www.google.com/maps/place/SANTI/@44.210778499999996,20.9104991,14z/data=!4m8!1m2!2m1!1sSANTI!3m4!1s0x475a700a9bbf4d2f:0x6118c84047598956!8m2!3d44.210778499999996!4d20.9104991",ChIJL02_mwpwWkcRVolZR0DIGGE
